Run_Number,BNF_Version,Fitness_Score,Population,Fitnes_Function,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
2,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,15,1000,ffv15np,,,,,,,,,,,,
3,1.5,15,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
3,1.5,9,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,8,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
4,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,7,1000,ffv15np,,,,,,,,,,,,
5,1.5,9,1000,ffv15np,,,,,,,,,,,,
5,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,9,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
6,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
7,1.5,8,1000,ffv15np,,,,,,,,,,,,
8,1.5,8,1000,ffv15np,,,,,,,,,,,,
8,1.5,12,1000,ffv15np,,,,,,,,,,,,
8,1.5,12,1000,ffv15np,,,,,,,,,,,,
8,1.5,9,1000,ffv15np,,,,,,,,,,,,
8,1.5,9,1000,ffv15np,,,,,,,,,,,,
8,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,6,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
9,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,9,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
10,1.5,11,1000,ffv15np,,,,,,,,,,,,
11,1.5,11,1000,ffv15np,,,,,,,,,,,,
